,key,site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,uniqueID,genus_species,genus,family,determiner.y,lat,long,state,country,county
67,Colias_eurytheme,PL,80912,388,sulfur,,,purple flower,Glandularia bipinnatifida,1,1,HLS,EMEC_SI_PL_080912_388,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
68,Colias_eurytheme,PL,80912,411,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,1,1,LCP,EMEC_SI_PL_080912_411,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
69,Colias_eurytheme,PL,80912,391,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,1,1,HLS,EMEC_SI_PL_080912_391,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
70,Colias_eurytheme,JC,71512,17,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,EMEC_SI_JC_071512_17,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
71,Colias_eurytheme,JC,71512,2,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,EMEC_SI_JC_071512_2,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
72,Colias_eurytheme,PL,80912,381,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,1,1,HLS,EMEC_SI_PL_080912_381,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
73,Colias_eurytheme,SC,72012,327,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,1,1,HLS,EMEC_SI_SC_072012_327,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á12'22.86""N","106Á26'36.15""W",New Mexico,USA,Bernalillo
74,Colias_eurytheme,JC,71412,28,pierid,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,EMEC_SI_JC_071412_28,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
75,Colias_eurytheme,SC,72712,268,sulfur,,,wall flower,Erysimum capitatum,5,1,HLS,EMEC_SI_SC_072712_268,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á12'22.86""N","106Á26'36.15""W",New Mexico,USA,Bernalillo
76,Colias_eurytheme,PL,81012,333,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,2,1,HLS,EMEC_SI_PL_081012_333,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
77,Colias_eurytheme,PL,81112,268,sulfur,Colias eurytheme,,wall flower,Erysimum capitatum,3,1,LCP,EMEC_SI_PL_081112_268,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
78,Colias_eurytheme,JC,71612,10,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,EMEC_SI_JC_071612_10,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
79,Colias_eurytheme,JC,71712,14,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,EMEC_SI_JC_071712_14,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
80,Colias_eurytheme,MM,80212,335,sulfur,,,yellow brassica,Erysimum capitatum,3,2,HLS,EMEC_SI_MM_080212_335,Colias eurytheme,Colias,Pieridae,L.Ponisio," 33Á59'29.31""N","107Á11'1.23""W",New Mexico,USA,Socorro
81,Colias_eurytheme,CH,82012,189,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,3,2,LCP,EMEC_SI_CH_082012_189,Colias eurytheme,Colias,Pieridae,L.Ponisio," 31Á55'2.68""N","109Á16'44.17""W",Arizona,USA,Cochise
