Meadow,Family,GenusSpecies,Forest,State,Deteriner,Count
Kiwanis meadow,Syrphidae,Eupeodes volucris,Cibola,New Mexico,M. Hauser,3
Kiwanis meadow,Syrphidae,Lejops polygrammus,Cibola,New Mexico,M. Hauser,1
Kiwanis meadow,Syrphidae,Platycheirus stegnus,Cibola,New Mexico,M. Hauser,2
Kiwanis meadow,Apidae,Bombus centralis,Cibola,New Mexico,R.W. Thorp,1
Kiwanis meadow,Apidae,Bombus fervidus,Cibola,New Mexico,R.W. Thorp,8
Kiwanis meadow,Apidae,Bombus flavifrons,Cibola,New Mexico,R.W. Thorp,18
Kiwanis meadow,Apidae,Bombus huntii,Cibola,New Mexico,R.W. Thorp,70
Kiwanis meadow,Apidae,Bombus morrisoni,Cibola,New Mexico,R.W. Thorp,1
Kiwanis meadow,Apidae,Bombus nevadensis,Cibola,New Mexico,R.W. Thorp,14
South Baldy meadow,Vespidae,Ancistrocerus adiabatus,Cibola,New Mexico,J. Carpenter,1
South Baldy meadow,Vespidae,Ancistrocerus bustamente,Cibola,New Mexico,J. Carpenter,20
South Baldy meadow,Halictidae,Agapostemen angelicus,Cibola,New Mexico,J.S. Ascher,2
South Baldy meadow,Andrenidae,Andrena apacheorum,Cibola,New Mexico,J.S. Ascher,1
South Baldy meadow,Megachilidae,Anthidium maculosum,Cibola,New Mexico,J.S. Ascher,3
South Baldy meadow,Apidae,Anthophora montana,Cibola,New Mexico,J.S. Ascher,5
South Baldy meadow,Apidae,Anthophora urbana,Cibola,New Mexico,J.S. Ascher,24
South Baldy meadow,Apidae,Apis mellifera,Cibola,New Mexico,J.S. Ascher,45
South Baldy meadow,Colletidae,Colletes skinneri,Cibola,New Mexico,J.S. Ascher,2
South Baldy meadow,Apidae,Diadasia diminuta,Cibola,New Mexico,J.S. Ascher,1
South Baldy meadow,Halictidae,Halictus tripartitus,Cibola,New Mexico,J.S. Ascher,1
South Baldy meadow,Halictidae,Lasioglossum perdifficile,Cibola,New Mexico,J.S. Ascher,1
South Baldy meadow,Halictidae,Lasioglossum ruidosense,Cibola,New Mexico,J.S. Ascher,6
South Baldy meadow,Halictidae,Lasioglossum semicaeruleum,Cibola,New Mexico,J.S. Ascher,12
South Baldy meadow,Halictidae,Lasioglossum sisymbrii,Cibola,New Mexico,J.S. Ascher,5
South Baldy meadow,Megachilidae,Megachile frigida,Cibola,New Mexico,J.S. Ascher,1
